"cell_type"	"value"	"long_method"	"dataset"	"dataset2"	"ndim"
"293T"	0	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.16342082980525	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.00453001132502831	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.00132333480370534	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00176289114147201	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0488573680063042	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.0117647058823529	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.0183673469387755	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"T24"	0	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.0069204152249135	"Signac_by_cluster_peaks"	"Cell line"	"Cell_line_mixing"	15
"293T"	0	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.135901778154107	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.00528501321253303	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.00132333480370534	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00220361392684002	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0457052797478329	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.00784313725490196	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.0142857142857143	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"T24"	0	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.0069204152249135	"Signac_all_cell_peaks"	"Cell line"	"Cell_line_mixing"	15
"293T"	0.00196353436185133	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.0169348010160881	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.164967912419781	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.0868989854433172	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00572939620978405	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0401891252955083	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.0285714285714286	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
